card_id,client_id,account_id,card_number,card_holder_name,expiry_date,cvv,card_type,card_level,status,issue_date
54,2129,2725,4726 9160 3397 5499,Michael Jackson,2028-08-16,249,CREDIT,STANDARD,BLOCKED,2025-08-17
55,131,5514,4805 5247 2915 4474,Adam Parker,2028-02-21,555,CREDIT,STANDARD,LOST,2025-02-21
56,2237,2679,4431 7218 2494 5942,Jared Hudson,2027-11-24,437,CREDIT,PLATINUM,ACTIVE,2024-11-24
57,1932,221,4623 4028 5759 5245,Douglas Le,2027-05-13,945,DEBIT,PLATINUM,EXPIRED,2024-05-13
58,740,140,4781 1140 7126 3894,Abigail Alexander,2028-02-08,874,DEBIT,GOLD,BLOCKED,2025-02-08
59,1596,607,4391 6146 9602 3595,Dana Martinez,2026-02-02,493,CREDIT,GOLD,ACTIVE,2023-02-03
60,452,6428,4757 1411 2897 3546,Suzanne Lucas,2028-10-23,224,DEBIT,PLATINUM,ACTIVE,2025-10-24
61,738,681,4214 3026 2258 8815,Katherine Stephens,2028-10-23,653,CREDIT,PLATINUM,ACTIVE,2025-10-24
62,1640,869,4112 5771 1125 8648,Kimberly Henson,2028-05-29,338,CREDIT,STANDARD,ACTIVE,2025-05-30
63,595,4209,4785 7980 6835 7232,William Carroll,2026-08-05,858,CREDIT,STANDARD,ACTIVE,2023-08-06
64,1169,5047,4320 8729 7155 9071,Christina Fernandez,2027-09-17,101,CREDIT,GOLD,EXPIRED,2024-09-17
65,2777,718,4441 8169 3896 3198,Jacqueline Farrell,2028-03-28,797,CREDIT,STANDARD,ACTIVE,2025-03-29
66,2495,3726,4323 5535 5222 2555,Melissa Martinez,2028-08-31,218,DEBIT,GOLD,EXPIRED,2025-09-01
67,2159,7745,4828 2742 1994 7545,Brian Phillips,2028-07-25,565,DEBIT,GOLD,LOST,2025-07-26
68,847,7999,4750 2209 3393 3591,Charles Sullivan,2028-06-20,532,CREDIT,GOLD,EXPIRED,2025-06-21
69,140,116,4432 6405 1493 1689,Tim Pierce,2028-06-17,271,DEBIT,GOLD,BLOCKED,2025-06-18
70,539,121,4279 5536 7532 6885,Jacob Hale,2027-12-13,675,CREDIT,STANDARD,BLOCKED,2024-12-13
71,2827,1738,4527 2847 3991 3767,Raymond Barron,2027-10-19,164,CREDIT,STANDARD,EXPIRED,2024-10-19
72,2581,4976,4826 1607 3785 7516,Sara White,2028-11-01,847,DEBIT,GOLD,LOST,2025-11-02
73,669,261,4711 9583 4400 7422,Jonathan Mcmahon,2028-06-30,626,CREDIT,GOLD,LOST,2025-07-01
74,2871,7490,4843 9272 3592 1136,Allison Lopez,2027-08-04,139,CREDIT,STANDARD,EXPIRED,2024-08-04
75,2672,1286,4247 1410 1592 2164,William Robles,2026-09-12,141,CREDIT,PLATINUM,EXPIRED,2023-09-13
76,128,2956,4433 3781 5620 5431,Eric Grant,2028-09-25,970,DEBIT,GOLD,ACTIVE,2025-09-26
77,758,4734,4777 8945 2231 5133,Christopher Lewis,2028-10-27,410,DEBIT,STANDARD,BLOCKED,2025-10-28
78,669,956,4452 1980 1886 7378,Jonathan Mcmahon,2028-10-09,182,DEBIT,PLATINUM,EXPIRED,2025-10-10
79,925,2407,4151 2079 2013 6875,Chad Levy,2028-09-13,423,DEBIT,PLATINUM,BLOCKED,2025-09-14
80,2621,5980,4190 7018 5087 9142,Brian Edwards,2028-09-28,627,CREDIT,PLATINUM,LOST,2025-09-29
81,2459,2970,4554 5824 6423 3279,Katie Vaughan,2027-09-24,474,DEBIT,GOLD,LOST,2024-09-24
82,2528,2565,4460 2808 6210 7577,Stephen Myers,2028-05-10,164,CREDIT,STANDARD,LOST,2025-05-11
83,894,6635,4435 5784 2923 5288,Lauren Mann,2028-10-07,608,DEBIT,GOLD,ACTIVE,2025-10-08
84,889,1162,4286 5231 2714 7228,Rebecca Johnson,2027-07-23,215,CREDIT,STANDARD,ACTIVE,2024-07-23
85,495,2777,4905 5385 1248 4197,Sandra Molina,2028-02-16,965,CREDIT,PLATINUM,EXPIRED,2025-02-16
86,1735,7977,4129 3978 7212 3404,James Brock,2028-10-23,721,CREDIT,GOLD,BLOCKED,2025-10-24
87,692,2945,4880 7617 7695 1811,Jerry Burton,2028-05-25,892,CREDIT,STANDARD,EXPIRED,2025-05-26
88,1364,4316,4734 8658 9252 9655,Yolanda Holmes,2028-10-22,201,DEBIT,PLATINUM,EXPIRED,2025-10-23
89,1005,2559,4371 3892 7171 7654,Tracey Benjamin,2028-10-28,129,CREDIT,STANDARD,ACTIVE,2025-10-29
90,1817,7785,4244 8421 2213 5252,Brandon Brewer,2028-10-27,797,DEBIT,PLATINUM,ACTIVE,2025-10-28
91,2818,3412,4679 7431 5441 1728,Steven Fernandez,2028-08-26,536,DEBIT,STANDARD,ACTIVE,2025-08-27
92,1558,3912,4135 5619 9619 4244,Mary Gonzales,2027-10-29,827,DEBIT,GOLD,LOST,2024-10-29
93,1623,2966,4961 6558 8287 7512,Stephen Santos,2028-08-16,248,DEBIT,PLATINUM,EXPIRED,2025-08-17
94,2346,3743,4359 4548 1488 6865,Charles Parrish,2028-09-12,927,DEBIT,STANDARD,EXPIRED,2025-09-13
95,2486,1110,4266 4342 8002 8785,Nancy Greene,2028-02-17,693,CREDIT,STANDARD,ACTIVE,2025-02-17
96,892,4402,4040 2730 9222 2409,Kristin Smith,2028-11-01,284,DEBIT,PLATINUM,EXPIRED,2025-11-02
97,1812,2003,4980 8961 3610 8648,Sandy Bell,2028-11-01,630,CREDIT,PLATINUM,LOST,2025-11-02
98,1666,6717,4481 9567 6404 1496,Michael Griffin,2027-04-18,575,DEBIT,PLATINUM,EXPIRED,2024-04-18
99,554,7666,4652 1807 9130 1251,Zachary Walters,2027-01-03,888,CREDIT,GOLD,BLOCKED,2024-01-04
100,348,2876,4037 2324 6729 4582,Steven Gilbert,2027-12-28,511,CREDIT,GOLD,EXPIRED,2024-12-28
101,452,3875,4719 8797 4663 8039,Suzanne Lucas,2027-12-17,421,DEBIT,GOLD,ACTIVE,2024-12-17
102,175,1515,4565 6301 6792 6050,Megan Allen,2028-10-04,484,CREDIT,GOLD,EXPIRED,2025-10-05
103,2410,1686,4342 7017 1666 5207,Stephanie Dennis,2028-10-20,366,CREDIT,GOLD,BLOCKED,2025-10-21
104,1368,2062,4165 3749 7056 1959,Alexander Powers,2024-05-20,242,CREDIT,STANDARD,EXPIRED,2021-05-21
105,2123,2088,4025 4598 6578 8767,Zachary Perry,2028-10-04,956,CREDIT,STANDARD,BLOCKED,2025-10-05
106,2145,3627,4429 8453 8228 5673,Manuel Brennan,2028-10-02,442,DEBIT,GOLD,ACTIVE,2025-10-03
107,965,2707,4070 5829 6857 8600,Samantha Ware,2028-05-19,457,DEBIT,PLATINUM,EXPIRED,2025-05-20
108,2021,1306,4633 9056 5375 6511,Greg Harvey,2028-09-19,977,CREDIT,STANDARD,BLOCKED,2025-09-20
109,2389,5819,4325 9347 9958 1699,Patricia Klein,2028-01-06,326,DEBIT,GOLD,EXPIRED,2025-01-06
110,744,6128,4334 3731 3182 7577,Jaime Turner,2028-10-25,840,CREDIT,GOLD,LOST,2025-10-26
111,2431,6676,4929 9638 7458 5682,Richard Rodriguez,2028-08-10,716,DEBIT,STANDARD,LOST,2025-08-11
112,270,2157,4793 2782 7024 4058,Tammy Morrison,2028-10-23,181,CREDIT,GOLD,BLOCKED,2025-10-24
113,2865,5627,4171 3710 6821 3715,Rachel Grant,2028-10-28,463,DEBIT,GOLD,BLOCKED,2025-10-29
114,744,781,4822 4214 9792 7325,Jaime Turner,2028-04-20,574,DEBIT,STANDARD,BLOCKED,2025-04-21
115,1101,3296,4577 6030 9277 5177,Mark Munoz,2027-05-07,351,CREDIT,GOLD,LOST,2024-05-07
116,2296,7181,4827 8050 3683 4374,Nicole Butler,2027-05-09,375,DEBIT,STANDARD,ACTIVE,2024-05-09
117,2962,6934,4037 2938 5839 9364,Heather Farrell,2028-06-06,867,CREDIT,GOLD,EXPIRED,2025-06-07
118,2952,5463,4539 9583 1697 6185,Kevin Becker,2028-09-11,812,CREDIT,STANDARD,BLOCKED,2025-09-12
119,2585,7158,4852 5220 9237 1394,Chase Watson,2027-10-17,654,CREDIT,STANDARD,LOST,2024-10-17
120,2723,6023,4290 8503 9465 6400,Paula Decker,2028-07-21,123,CREDIT,PLATINUM,EXPIRED,2025-07-22
121,2307,7205,4186 4008 6036 3059,Pamela Roberts,2028-07-17,501,DEBIT,GOLD,EXPIRED,2025-07-18
122,583,4310,4915 6969 8632 4237,Ricky Hill,2027-01-24,357,CREDIT,GOLD,BLOCKED,2024-01-25
123,1933,5069,4769 9496 4865 6506,William Johnson,2028-04-21,425,CREDIT,STANDARD,ACTIVE,2025-04-22
124,2496,4286,4312 7215 3612 4451,David Flynn,2027-06-09,171,CREDIT,STANDARD,BLOCKED,2024-06-09
125,2914,3556,4326 1703 4979 3263,Travis Yang,2028-10-28,369,DEBIT,STANDARD,BLOCKED,2025-10-29
126,206,1704,4537 2753 7962 5174,Andrew Mercado,2027-09-14,902,CREDIT,GOLD,EXPIRED,2024-09-14
127,2481,5238,4176 9763 2586 3146,Molly Maldonado,2028-08-11,994,DEBIT,GOLD,LOST,2025-08-12
128,2305,3197,4821 7091 7206 4528,Jason Lee,2027-06-13,296,CREDIT,STANDARD,EXPIRED,2024-06-13
129,171,6479,4781 9269 4486 4134,Zachary Martin,2028-10-19,149,DEBIT,GOLD,LOST,2025-10-20
130,450,2922,4259 8214 2099 4858,Angela Boyle,2028-10-18,666,CREDIT,STANDARD,BLOCKED,2025-10-19
131,1991,4762,4942 8116 7590 9531,Jesse Shaw,2026-09-23,329,DEBIT,STANDARD,ACTIVE,2023-09-24
132,605,3283,4745 2843 1862 1589,Tami Alvarado,2028-09-10,894,DEBIT,PLATINUM,ACTIVE,2025-09-11
133,1220,3016,4196 5573 7738 5571,Danny Lopez,2028-06-18,232,CREDIT,PLATINUM,LOST,2025-06-19
134,2023,4724,4122 8793 3219 8650,Ryan Tyler,2026-08-28,262,DEBIT,PLATINUM,LOST,2023-08-29
135,1070,5093,4078 3510 2980 3907,Anita Perez,2028-10-27,552,CREDIT,GOLD,ACTIVE,2025-10-28
136,1803,2058,4063 8052 7898 4878,Philip Warren,2028-03-09,830,DEBIT,STANDARD,BLOCKED,2025-03-10
137,1049,3422,4767 6187 1786 7139,Robert Ball,2028-01-05,795,CREDIT,STANDARD,ACTIVE,2025-01-05
138,92,3758,4468 1864 4549 4292,Monique Campbell,2028-10-27,545,CREDIT,PLATINUM,BLOCKED,2025-10-28
139,1520,6595,4768 4624 1174 7586,Kevin Maldonado,2028-03-21,396,DEBIT,STANDARD,BLOCKED,2025-03-22
140,2838,5575,4805 9492 6656 9136,Amanda Gutierrez,2028-09-26,105,DEBIT,GOLD,ACTIVE,2025-09-27
141,1190,4192,4838 4027 3828 5967,Michael Williams,2028-02-07,560,CREDIT,STANDARD,ACTIVE,2025-02-07
142,1301,3531,4909 3762 7460 7673,Joanne Mercado,2026-09-19,504,DEBIT,STANDARD,EXPIRED,2023-09-20
143,1399,4917,4037 6231 3960 2610,Virginia Gonzales,2028-10-31,755,DEBIT,PLATINUM,ACTIVE,2025-11-01
144,2369,3417,4261 8703 3866 8780,Ricky Bennett,2027-03-25,150,DEBIT,STANDARD,LOST,2024-03-25
145,494,2946,4248 9364 1269 6498,Christine Price,2028-10-26,297,CREDIT,PLATINUM,BLOCKED,2025-10-27
146,182,661,4808 8387 9493 7132,Kimberly Martin,2027-11-01,201,CREDIT,PLATINUM,EXPIRED,2024-11-01
147,2249,646,4101 2128 8844 8778,Marie Stevens,2028-07-10,239,CREDIT,PLATINUM,ACTIVE,2025-07-11
148,1172,7989,4914 6688 1414 1566,Kathleen Huffman,2026-04-02,597,DEBIT,STANDARD,LOST,2023-04-03
149,1971,2220,4075 2194 9562 1752,Diane Bowers,2026-09-24,194,DEBIT,PLATINUM,LOST,2023-09-25
150,2668,3101,4595 5320 9477 5817,Julia Miller,2028-04-10,866,CREDIT,GOLD,LOST,2025-04-11
151,2882,1361,4464 3829 9781 8254,Richard Juarez,2028-01-24,930,DEBIT,GOLD,EXPIRED,2025-01-24
152,2517,6057,4977 4524 2332 8440,Allison Martin,2027-12-08,465,CREDIT,PLATINUM,LOST,2024-12-08
153,1430,7665,4908 9210 4968 7365,Brandon Pace,2028-09-08,843,CREDIT,PLATINUM,BLOCKED,2025-09-09
154,1486,1623,4510 6568 7847 7804,Ryan Pace,2028-10-23,684,CREDIT,PLATINUM,BLOCKED,2025-10-24
155,2960,3972,4020 8112 7504 7770,Megan Sanchez,2028-10-26,112,CREDIT,PLATINUM,ACTIVE,2025-10-27
156,2653,7559,4685 8782 4986 4137,Joseph Rice,2028-05-07,697,DEBIT,PLATINUM,BLOCKED,2025-05-08
157,2290,296,4404 3174 4677 7255,Robert Mitchell,2027-06-15,543,CREDIT,PLATINUM,EXPIRED,2024-06-15
158,2572,6931,4889 7260 2186 5135,Joseph Pittman,2028-08-13,738,DEBIT,GOLD,ACTIVE,2025-08-14
159,147,6067,4367 1849 4304 7082,Leah Jones,2028-05-14,592,CREDIT,GOLD,EXPIRED,2025-05-15
160,2372,2481,4133 1109 1195 3399,Erin Garcia,2028-11-01,148,CREDIT,STANDARD,ACTIVE,2025-11-02
161,2274,7448,4126 2208 8756 7594,Robert Hernandez,2028-08-17,958,DEBIT,GOLD,BLOCKED,2025-08-18
162,2725,5103,4793 5276 7470 6893,Anthony Hess,2028-10-31,584,DEBIT,PLATINUM,ACTIVE,2025-11-01
163,2902,5619,4323 2594 9212 6364,Stephen Smith,2027-09-05,389,DEBIT,GOLD,BLOCKED,2024-09-05
164,786,2412,4573 8789 4803 1354,Ann Smith,2027-10-20,614,DEBIT,GOLD,ACTIVE,2024-10-20
165,2034,1762,4655 9631 8269 3385,Jennifer Thompson,2028-11-01,766,DEBIT,PLATINUM,BLOCKED,2025-11-02
166,2594,7027,4763 3077 3323 1007,Kenneth Walker,2028-06-16,305,DEBIT,STANDARD,ACTIVE,2025-06-17
167,2495,2660,4458 6760 7488 6222,Melissa Martinez,2027-11-25,360,CREDIT,STANDARD,BLOCKED,2024-11-25
168,592,6031,4904 4381 3749 4301,Jeanette Simmons,2028-10-10,822,DEBIT,GOLD,EXPIRED,2025-10-11
169,2532,2251,4187 6275 2980 5425,Kelly Santos,2028-10-12,256,DEBIT,PLATINUM,BLOCKED,2025-10-13
170,2305,2653,4409 5793 3275 6106,Jason Lee,2027-01-09,824,DEBIT,PLATINUM,ACTIVE,2024-01-10
171,1971,716,4440 3450 5102 8636,Diane Bowers,2028-11-01,430,DEBIT,PLATINUM,EXPIRED,2025-11-02
172,1664,2083,4402 1111 1143 4477,Christina Gamble,2028-04-21,740,CREDIT,PLATINUM,BLOCKED,2025-04-22
173,1975,3549,4748 4330 5053 2993,Aaron Robinson,2028-09-29,255,DEBIT,PLATINUM,LOST,2025-09-30
174,224,5922,4339 8039 2588 2431,Pamela George,2026-11-20,162,CREDIT,GOLD,EXPIRED,2023-11-21
175,969,6271,4344 9604 5155 7957,Jacob White,2028-10-22,627,DEBIT,GOLD,ACTIVE,2025-10-23
176,2658,157,4475 9076 5118 9569,Meghan Cortez,2027-08-05,596,DEBIT,PLATINUM,BLOCKED,2024-08-05
177,2461,6961,4189 3675 9498 9161,Tiffany Bell,2027-12-29,141,DEBIT,PLATINUM,BLOCKED,2024-12-29
178,2374,2422,4198 4893 4757 9501,Alyssa Mccormick,2027-09-02,597,CREDIT,PLATINUM,LOST,2024-09-02
179,1498,695,4617 6288 8098 9778,Lindsay Collins,2028-06-20,641,DEBIT,GOLD,LOST,2025-06-21
180,1620,6976,4587 3678 5001 3985,Todd Kirby,2028-06-15,854,CREDIT,GOLD,EXPIRED,2025-06-16
181,1960,4870,4067 3945 3667 9141,Earl Clark,2027-11-13,269,CREDIT,PLATINUM,LOST,2024-11-13
182,582,1819,4500 4644 2667 3492,Eric Harris,2028-08-10,839,DEBIT,STANDARD,LOST,2025-08-11
183,461,2155,4040 6887 5444 1780,Stacie Woodard,2027-07-07,446,DEBIT,STANDARD,EXPIRED,2024-07-07
184,1733,1973,4349 2060 4561 5221,Taylor Smith,2028-08-19,262,CREDIT,STANDARD,ACTIVE,2025-08-20
185,2672,4751,4083 5230 5584 7395,William Robles,2028-04-24,815,DEBIT,STANDARD,ACTIVE,2025-04-25
186,786,4161,4149 4617 9436 6904,Ann Smith,2026-07-11,324,DEBIT,STANDARD,ACTIVE,2023-07-12
187,1458,2907,4786 7721 4612 6976,Pamela Wiggins,2027-12-31,157,DEBIT,STANDARD,BLOCKED,2024-12-31
188,1033,1386,4446 6630 2018 5242,Hannah Bell,2026-06-23,644,CREDIT,GOLD,LOST,2023-06-24
189,2959,4455,4712 3856 2879 2094,Alan Russell,2028-08-25,286,DEBIT,PLATINUM,LOST,2025-08-26
190,524,3696,4981 9610 3072 7605,Bradley Lee,2028-10-06,416,DEBIT,STANDARD,EXPIRED,2025-10-07
191,13,142,4806 8118 2309 4179,Sean Bonilla,2028-04-29,430,CREDIT,STANDARD,ACTIVE,2025-04-30
192,2847,6172,4520 4690 5414 7206,Nicole Carter,2028-08-14,409,CREDIT,PLATINUM,LOST,2025-08-15
193,357,7304,4832 7281 7340 9159,Rebecca Estrada,2028-07-23,822,CREDIT,GOLD,LOST,2025-07-24
194,2492,3301,4556 4827 3554 5624,Joseph Howell,2028-10-25,479,DEBIT,STANDARD,LOST,2025-10-26
195,1599,6432,4037 4008 3645 4513,Shawn Lewis,2028-10-13,550,DEBIT,GOLD,BLOCKED,2025-10-14
196,1133,7172,4753 9416 2693 2679,Charles Richardson,2028-03-29,310,CREDIT,GOLD,ACTIVE,2025-03-30
197,1761,2866,4170 5985 5556 5900,Matthew Nelson,2028-10-30,652,DEBIT,PLATINUM,EXPIRED,2025-10-31
198,1903,5876,4402 2996 5717 2791,Lori Rowe,2028-02-27,494,CREDIT,GOLD,LOST,2025-02-27
199,1679,2659,4615 6744 8272 8674,Jose George,2028-08-09,442,DEBIT,PLATINUM,LOST,2025-08-10
200,1395,1617,4661 9083 7607 9920,Christopher Clark,2028-11-01,221,DEBIT,PLATINUM,LOST,2025-11-02
201,2535,1249,4434 1622 1696 3856,John Hernandez,2028-10-02,248,DEBIT,GOLD,EXPIRED,2025-10-03
202,2853,3530,4772 6529 1893 7806,Jane Richard,2028-09-28,831,DEBIT,PLATINUM,LOST,2025-09-29
203,1014,7370,4490 1774 1345 2641,Chelsea Joseph,2028-05-17,992,CREDIT,STANDARD,EXPIRED,2025-05-18
204,856,1956,4199 2823 6944 4270,Kaitlyn Le,2028-07-31,362,DEBIT,STANDARD,ACTIVE,2025-08-01
205,2756,5420,4714 5221 1368 4759,David Lee,2027-01-16,324,DEBIT,STANDARD,LOST,2024-01-17
206,116,1921,4220 5190 5966 6433,Timothy Bowers,2028-10-15,867,CREDIT,PLATINUM,EXPIRED,2025-10-16
207,261,1756,4378 3091 3827 4644,Matthew Jackson,2027-11-12,734,CREDIT,PLATINUM,EXPIRED,2024-11-12
208,1844,3613,4739 7945 5473 4408,Sarah Johnson,2028-07-29,917,DEBIT,STANDARD,EXPIRED,2025-07-30
209,2027,34,4919 1142 5676 8665,Sonya Lee,2028-10-31,422,DEBIT,GOLD,LOST,2025-11-01
210,80,4757,4614 8586 5040 9854,Veronica Thomas,2027-05-31,866,CREDIT,PLATINUM,ACTIVE,2024-05-31
211,2579,5145,4120 7699 8816 1581,Donald Wood,2026-07-01,297,CREDIT,STANDARD,BLOCKED,2023-07-02
212,379,1817,4775 9228 3614 3047,Brenda Hughes,2028-01-30,895,DEBIT,STANDARD,ACTIVE,2025-01-30
213,2348,1775,4678 1672 5769 6011,Randall Bailey,2028-09-01,704,CREDIT,PLATINUM,EXPIRED,2025-09-02
214,1135,7426,4794 4935 8723 8485,Larry Alvarez,2028-08-14,996,DEBIT,PLATINUM,ACTIVE,2025-08-15
215,2297,706,4526 5948 2236 1353,Lindsay Peters,2028-06-29,934,CREDIT,GOLD,LOST,2025-06-30
216,1466,3844,4613 3410 8736 7094,Kelly Grant,2028-10-24,413,CREDIT,GOLD,EXPIRED,2025-10-25
217,453,5119,4531 9152 4762 3750,John Anderson,2028-10-17,273,CREDIT,PLATINUM,BLOCKED,2025-10-18
218,1109,3792,4792 1926 2892 5716,Rachel Thompson,2028-08-29,883,DEBIT,STANDARD,ACTIVE,2025-08-30
219,1480,1486,4771 4043 8422 2740,David Smith,2028-09-23,680,CREDIT,STANDARD,LOST,2025-09-24
220,2790,5053,4945 5799 5352 8464,Daniel Preston,2027-02-28,423,DEBIT,STANDARD,LOST,2024-02-29
221,1902,2061,4081 1926 4504 6477,Michelle Johnson,2028-10-28,831,CREDIT,STANDARD,BLOCKED,2025-10-29
222,1617,2775,4723 4360 6896 1304,William Clark,2028-07-04,169,CREDIT,PLATINUM,BLOCKED,2025-07-05
223,1583,3816,4245 1507 3330 5034,Suzanne Willis,2028-10-19,374,DEBIT,STANDARD,LOST,2025-10-20
224,2733,7655,4195 3453 7266 8658,James Johnson,2028-10-24,793,CREDIT,PLATINUM,BLOCKED,2025-10-25
