employee_id,branch_id,first_name,last_name,email,phone,position,department,hire_date,salary,status
30,4,Jonathan,Jones,madisonzhang@example.org,+1-389-280-0895x0994,ADVISOR,RETAIL,2025-05-01,40563.78,ACTIVE
31,2,Jesse,Walters,yperez@example.com,626.600.1272x463,SUPERVISOR,OPERATIONS,2021-10-02,32388.25,SUSPENDED
32,5,Mark,Morgan,thompsonjennifer@example.org,001-985-240-8182x6423,SUPERVISOR,COMPLIANCE,2022-08-13,50767.94,SUSPENDED
33,4,Sandra,Peterson,leemaria@example.net,+1-614-680-5021x7359,TELLER,IT,2021-06-12,104093.64,SUSPENDED
34,3,Parker,Cooper,josephrowe@example.net,(305)760-1785x14118,TELLER,IT,2017-02-02,81162.26,ACTIVE
35,17,Laura,Fowler,gibsonmichael@example.com,001-808-795-0441x68844,SUPERVISOR,OPERATIONS,2022-02-28,80221.88,ACTIVE
36,38,Ricardo,Dorsey,michael54@example.org,001-669-725-4870x301,SUPERVISOR,COMPLIANCE,2023-08-08,36946.26,ACTIVE
37,10,William,Stone,barrettann@example.com,+1-571-985-7214,ANALYST,COMPLIANCE,2017-05-21,83320.94,INACTIVE
38,46,Anthony,Zimmerman,tommy94@example.org,910-240-6315,ANALYST,OPERATIONS,2023-11-24,68272.44,ACTIVE
39,32,Kimberly,Ferguson,jonesbonnie@example.org,772.255.1312x05142,MANAGER,IT,2019-12-07,44750.75,SUSPENDED
40,38,Bianca,Lyons,cscott@example.com,001-867-801-7560x77686,MANAGER,IT,2016-04-10,85405.14,ACTIVE
41,45,David,Shaw,daniellebender@example.net,941.319.7893x640,TELLER,RISK,2016-10-29,46401.88,SUSPENDED
42,19,Michael,Walker,apriltorres@example.net,497-848-5062x736,ANALYST,RISK,2018-05-25,90941.59,ACTIVE
43,18,Kayla,Hale,nelsonalexander@example.net,(232)906-8733x287,ADVISOR,COMPLIANCE,2020-08-25,52736.72,SUSPENDED
44,21,Bradley,Powell,bgraham@example.net,001-857-785-4447x690,TELLER,COMPLIANCE,2025-01-06,51935.26,ACTIVE
45,34,Rachel,Phillips,coreychristensen@example.com,001-483-972-5119x12230,MANAGER,COMPLIANCE,2019-02-20,102785.63,INACTIVE
46,11,Alexandra,Gray,judithaguilar@example.org,544.813.5887x9707,SUPERVISOR,IT,2020-05-06,50252.94,SUSPENDED
47,47,Kyle,Beck,usmith@example.org,887-241-3490x54435,MANAGER,IT,2017-08-07,106083.06,INACTIVE
48,39,Jamie,Yoder,jturner@example.net,802.425.7550x24781,TELLER,RETAIL,2025-09-24,90168.48,SUSPENDED
49,11,Brian,Weaver,bduke@example.com,(296)238-6470,ANALYST,RETAIL,2023-04-27,48009.48,SUSPENDED
50,38,Kathleen,Melendez,kelleraaron@example.org,8153731624,TELLER,RISK,2022-03-20,94324.04,INACTIVE
51,17,Samantha,Mccoy,laurenwolf@example.com,600.982.9374,ANALYST,IT,2018-10-13,59247.67,ACTIVE
52,36,Pedro,Galloway,kyle85@example.net,577-245-1498x5156,TELLER,COMPLIANCE,2023-03-11,34212.48,ACTIVE
53,6,Amy,Adkins,kevinray@example.org,+1-572-592-5810,MANAGER,COMPLIANCE,2025-04-02,69948.68,SUSPENDED
54,8,Benjamin,Shaffer,squinn@example.com,(885)718-8131x8902,MANAGER,RETAIL,2020-09-01,31329.17,INACTIVE
55,2,Sarah,Robinson,scott20@example.org,923-255-7274,ANALYST,OPERATIONS,2021-03-05,42249.72,SUSPENDED
56,1,Melinda,Green,michael28@example.net,(854)850-1410,ANALYST,COMPLIANCE,2020-03-21,110354.78,SUSPENDED
57,30,David,Dominguez,millereduardo@example.org,001-953-763-4336x209,MANAGER,IT,2017-04-18,64264.48,INACTIVE
58,46,Garrett,Gomez,garzacheryl@example.com,821.537.9515,MANAGER,IT,2019-04-28,116634.8,SUSPENDED
59,46,Ashley,Richmond,stewartjeffery@example.com,2613805416,SUPERVISOR,OPERATIONS,2017-08-15,95032.16,SUSPENDED
60,13,Gregory,Luna,ballen@example.com,(655)786-8764,MANAGER,RISK,2017-07-04,97618.88,SUSPENDED
61,30,Tracy,Mcdaniel,diamondbaker@example.com,(235)793-6089x690,MANAGER,OPERATIONS,2024-06-27,37702.5,SUSPENDED
62,3,Robert,Hubbard,yarnold@example.net,(280)352-7479x349,SUPERVISOR,COMPLIANCE,2020-10-08,92077.77,ACTIVE
63,6,Ruth,Smith,guerrarachel@example.com,791.680.6474,SUPERVISOR,COMPLIANCE,2023-06-10,38548.2,ACTIVE
64,7,Gabriel,Contreras,stephanie01@example.org,409-774-4342x920,ANALYST,OPERATIONS,2023-07-06,77163.24,INACTIVE
65,48,Cristina,Moreno,danaharris@example.com,(368)664-6383x97751,SUPERVISOR,IT,2017-12-13,87226.77,INACTIVE
66,39,Sarah,Turner,nicoledouglas@example.com,+1-613-757-5291,SUPERVISOR,COMPLIANCE,2018-07-29,62457.56,ACTIVE
67,27,Olivia,Jackson,williamsonbryan@example.net,001-670-596-6726x332,MANAGER,COMPLIANCE,2019-08-26,79536.66,ACTIVE
68,15,Ann,Smith,dwalker@example.com,219-477-3564,ANALYST,RISK,2024-07-29,40845.14,SUSPENDED
69,27,Sherry,Welch,schwartzlarry@example.com,+1-826-789-7275,SUPERVISOR,RETAIL,2024-03-08,114963.52,INACTIVE
70,37,Robert,Maldonado,alexandra90@example.com,228-266-3153x814,SUPERVISOR,OPERATIONS,2020-04-04,46949.73,ACTIVE
71,1,Nancy,Ball,zacharyhenderson@example.net,627-376-5666,ADVISOR,RISK,2016-09-01,98221.43,SUSPENDED
72,46,Karen,Estes,newtontina@example.net,(586)595-7701,ADVISOR,RETAIL,2017-03-26,108292.24,INACTIVE
73,12,Charles,Francis,kcole@example.org,(776)799-5390,TELLER,RETAIL,2023-09-08,38373.79,ACTIVE
74,29,Oscar,Wilcox,marcusbrown@example.net,242-354-5923x728,ANALYST,RETAIL,2019-01-18,36827.94,ACTIVE
75,42,Brenda,Riley,lynchjessica@example.net,784.632.1456x153,ANALYST,RISK,2017-05-01,37289.72,ACTIVE
76,28,Theresa,Clark,nancy10@example.com,812.863.1998x574,ANALYST,RISK,2024-06-08,61892.07,ACTIVE
77,41,Courtney,Davis,ttucker@example.org,2164360378,ADVISOR,OPERATIONS,2025-01-06,90427.19,INACTIVE
78,38,Paul,Rios,fosterstephanie@example.net,(688)330-8840x444,ADVISOR,IT,2021-07-01,114912.64,SUSPENDED
79,49,Aaron,Peterson,watsongrace@example.com,465-786-2539x1505,MANAGER,RISK,2016-08-12,60671.99,INACTIVE
80,13,April,Lee,ryanstanley@example.net,316.604.9077,ADVISOR,IT,2020-03-08,83967.89,SUSPENDED
81,48,Elizabeth,Figueroa,debra05@example.com,980-327-7304x8834,MANAGER,COMPLIANCE,2024-01-30,58516.92,ACTIVE
82,24,Mike,Haynes,antoniomccarthy@example.org,514.616.2007x56343,TELLER,RETAIL,2025-01-21,97555.68,ACTIVE
83,37,Martin,Thompson,ilopez@example.org,9303726746,TELLER,OPERATIONS,2022-02-24,85247.78,INACTIVE
84,5,Randy,Smith,amy93@example.org,686-750-4600x014,MANAGER,IT,2018-11-07,32007.02,INACTIVE
85,28,Elizabeth,Martin,alex78@example.net,+1-632-428-7504,SUPERVISOR,OPERATIONS,2023-02-06,58145.56,SUSPENDED
86,9,Aaron,Sanchez,jonathancruz@example.com,+1-913-589-3736,ADVISOR,IT,2017-03-11,105049.1,INACTIVE
87,39,Carly,Torres,jburke@example.net,6862420039,TELLER,IT,2024-03-06,113798.59,INACTIVE
88,28,Elizabeth,Lowe,ryangray@example.com,+1-446-331-1349x451,SUPERVISOR,RETAIL,2019-06-28,97943.16,INACTIVE
89,7,Jose,Henson,hannah53@example.org,432.363.5662,TELLER,RISK,2018-08-01,50606.95,ACTIVE
90,46,Amanda,Baldwin,tstone@example.org,(352)257-4221,TELLER,RISK,2021-12-03,44956.81,ACTIVE
91,38,Kathy,Torres,simslisa@example.net,844.676.8526,TELLER,COMPLIANCE,2020-04-01,113904.0,INACTIVE
92,3,Elijah,Rollins,gcarroll@example.com,(416)467-0344,ANALYST,RETAIL,2020-02-07,50879.14,SUSPENDED
93,7,Richard,Lee,rothtrevor@example.com,340-884-9805,MANAGER,COMPLIANCE,2016-11-18,43300.54,INACTIVE
94,15,John,Miller,wrightteresa@example.org,(809)734-7269,SUPERVISOR,RETAIL,2024-02-21,62902.67,INACTIVE
95,39,Joseph,Juarez,jsmith@example.org,954-917-1487,SUPERVISOR,RISK,2024-02-03,74326.94,ACTIVE
96,19,Madison,Whitehead,strongwilliam@example.org,925.486.8670,ADVISOR,RETAIL,2016-05-10,109988.78,SUSPENDED
97,44,Kelli,Anderson,markshelton@example.net,2757776577,SUPERVISOR,IT,2025-01-05,79554.2,INACTIVE
98,44,Jennifer,Burgess,ashley27@example.net,699-871-8431,SUPERVISOR,OPERATIONS,2017-02-12,60737.24,INACTIVE
99,18,Christopher,Ross,christina91@example.com,8179430350,SUPERVISOR,RISK,2020-02-15,110849.96,INACTIVE
100,9,Richard,Jarvis,jeremykelly@example.net,+1-725-637-2327x686,SUPERVISOR,OPERATIONS,2016-03-04,83796.01,INACTIVE
101,44,Michelle,Smith,rachelvasquez@example.org,+1-417-865-4199x9454,TELLER,RISK,2016-01-19,69628.9,SUSPENDED
102,35,Michael,Mckenzie,evansalexis@example.com,001-528-823-6260x84672,TELLER,IT,2025-07-27,46665.74,SUSPENDED
103,44,Cynthia,Carr,bob37@example.net,667.620.4418x44786,ANALYST,COMPLIANCE,2021-12-19,38449.46,SUSPENDED
104,47,Bradley,Harrell,susanfaulkner@example.com,206.302.3281x3179,SUPERVISOR,OPERATIONS,2021-10-13,50746.65,INACTIVE
105,42,Jessica,Lee,daniellemassey@example.net,+1-675-729-9085x974,TELLER,RETAIL,2015-11-07,65222.08,ACTIVE
106,13,Dorothy,Rose,sharon46@example.org,396-914-8922,ADVISOR,COMPLIANCE,2021-05-19,59239.42,INACTIVE
107,45,John,Thompson,ajohnson@example.com,001-563-507-0991x8560,SUPERVISOR,RETAIL,2025-02-06,72658.48,ACTIVE
108,15,Danny,Tucker,campbellrachel@example.org,(844)477-2261x7756,MANAGER,COMPLIANCE,2021-12-05,36178.54,ACTIVE
109,8,John,Williams,jamesgeorge@example.net,715-466-0766x3525,TELLER,RISK,2023-08-31,76597.63,INACTIVE
110,41,Jodi,Mitchell,camposmichael@example.com,001-477-991-5242x265,ADVISOR,COMPLIANCE,2021-05-25,71272.99,SUSPENDED
111,24,Sarah,Kelly,thouston@example.net,(976)518-2424,MANAGER,OPERATIONS,2017-10-09,98714.47,SUSPENDED
112,13,John,Murray,samantha43@example.net,001-962-466-7705x94145,ANALYST,COMPLIANCE,2025-10-13,50538.87,INACTIVE
113,23,Andrew,Burns,rebecca98@example.net,467.252.5925,TELLER,OPERATIONS,2024-10-19,82642.51,SUSPENDED
114,10,Kimberly,Brown,timothyhernandez@example.org,882.578.8157x7241,TELLER,IT,2017-07-11,114592.75,INACTIVE
115,18,Erik,Perez,kayla33@example.org,205.222.3129x0170,TELLER,OPERATIONS,2023-01-01,32278.67,ACTIVE
116,3,Cory,Hughes,pattersonalejandro@example.com,578-492-2658,SUPERVISOR,OPERATIONS,2016-04-16,108504.4,INACTIVE
117,30,Sara,Sanchez,jlawson@example.com,+1-884-463-2966x87941,TELLER,OPERATIONS,2018-02-02,118593.22,ACTIVE
118,34,Jacob,Whitaker,ricecolleen@example.org,001-674-968-6966,TELLER,IT,2025-09-26,74247.2,ACTIVE
119,42,Stephanie,Yang,tammy50@example.net,708.758.6665x9159,ADVISOR,COMPLIANCE,2025-06-02,108015.08,INACTIVE
120,39,Jody,Johnson,kylebullock@example.com,652.983.1236x009,SUPERVISOR,RETAIL,2020-10-16,86892.81,ACTIVE
121,31,Jeffrey,Coleman,kathleen50@example.com,536.993.5662x2357,ANALYST,RETAIL,2025-07-14,73627.38,INACTIVE
122,44,Brady,Cox,edgarwilliamson@example.com,001-968-431-6077x49581,ADVISOR,OPERATIONS,2018-04-18,105568.82,SUSPENDED
123,36,Mitchell,Smith,heather22@example.com,212-610-4888x062,TELLER,IT,2016-07-28,117352.86,INACTIVE
124,5,Elizabeth,Barr,dwaynemccullough@example.org,+1-341-273-2009x13711,ANALYST,OPERATIONS,2023-07-04,70642.52,SUSPENDED
125,24,Heather,Petersen,blloyd@example.net,001-566-328-7587x216,TELLER,RETAIL,2017-04-16,61111.86,INACTIVE
126,37,Richard,Morgan,williamwilkins@example.org,+1-864-314-2497x647,SUPERVISOR,OPERATIONS,2025-03-16,90699.12,SUSPENDED
127,22,Crystal,Meyer,annafields@example.net,(544)262-3163,ADVISOR,IT,2020-03-01,64214.33,ACTIVE
128,1,Joseph,Hernandez,nfox@example.org,+1-455-892-3768,ADVISOR,COMPLIANCE,2024-09-28,79957.18,ACTIVE
129,36,Jack,Baxter,reedaaron@example.com,001-297-978-3263x03389,ANALYST,RISK,2025-05-21,91326.69,INACTIVE
130,39,Brian,Sheppard,martineztimothy@example.org,001-739-539-1902x71819,TELLER,RISK,2019-09-29,35229.03,INACTIVE
131,28,David,Harris,kimdavid@example.org,255.972.2948,ADVISOR,IT,2016-12-26,64450.13,SUSPENDED
132,42,Shirley,Martinez,lyoung@example.net,687.997.7880,ANALYST,COMPLIANCE,2022-01-24,101909.86,ACTIVE
133,48,Jesse,Ross,melissamueller@example.com,2075206015,MANAGER,RISK,2022-10-05,53704.47,SUSPENDED
134,50,Kristy,Patterson,turnerjeffrey@example.com,(811)954-4765x0141,SUPERVISOR,RISK,2019-09-20,56133.75,INACTIVE
135,19,Ebony,Hernandez,meghan90@example.com,(864)613-1082x7947,SUPERVISOR,OPERATIONS,2025-04-06,86305.17,SUSPENDED
136,49,Tara,Wood,margaret74@example.com,001-943-958-8470x5115,ADVISOR,COMPLIANCE,2016-05-07,47987.83,INACTIVE
137,40,Larry,Davis,wrodriguez@example.org,734-759-8290x622,TELLER,IT,2025-09-10,111987.16,ACTIVE
138,24,Nicole,Mcdonald,williamsdale@example.net,3334432015,ANALYST,RISK,2021-03-15,101397.38,ACTIVE
139,45,Cheryl,Orr,rogernewman@example.com,(940)676-7784x0516,SUPERVISOR,COMPLIANCE,2018-01-21,78079.61,SUSPENDED
140,3,Ian,Vaughn,andersondalton@example.org,468-513-3677,ADVISOR,IT,2019-11-29,66787.08,SUSPENDED
141,40,Rebecca,Taylor,maureenrichards@example.net,(891)216-2403x0953,ADVISOR,COMPLIANCE,2020-10-16,105370.28,SUSPENDED
142,46,Timothy,Pitts,johnsonleah@example.com,727.939.6644x39424,SUPERVISOR,COMPLIANCE,2021-11-12,61658.9,ACTIVE
143,11,Brandon,Perez,ttucker@example.com,001-823-744-6900x995,SUPERVISOR,RETAIL,2018-12-18,60464.61,ACTIVE
144,48,Elizabeth,Flores,ulambert@example.net,001-885-621-6983x721,ANALYST,COMPLIANCE,2020-11-18,68461.25,SUSPENDED
145,10,Victoria,Sanders,jacksonpatrick@example.com,705.832.1111,ADVISOR,RISK,2016-12-16,59703.69,SUSPENDED
146,46,Rebecca,Stanley,bairdkristin@example.com,(482)858-4368,SUPERVISOR,IT,2025-08-23,40474.64,INACTIVE
147,31,Christopher,Koch,chrisfleming@example.org,+1-311-352-1099,ANALYST,RETAIL,2023-11-23,87526.02,SUSPENDED
148,26,Madeline,Garcia,lambertamanda@example.com,454-674-8069,TELLER,IT,2018-07-21,95290.59,INACTIVE
149,34,Mark,Atkinson,daniel03@example.org,990.287.7039,ANALYST,RISK,2019-05-01,33262.66,INACTIVE
150,49,William,Miller,william28@example.net,734-767-2815,ADVISOR,RISK,2020-11-04,45426.44,INACTIVE
151,45,Sara,Erickson,jacobyoung@example.com,001-395-724-2797x12073,MANAGER,RETAIL,2019-10-22,76277.37,SUSPENDED
152,7,Richard,Waters,brian81@example.net,296.245.9750x8083,TELLER,RETAIL,2017-06-06,57764.56,ACTIVE
153,33,Jacqueline,Taylor,ibenson@example.net,+1-793-291-4950x8989,ADVISOR,RETAIL,2025-03-26,92180.18,ACTIVE
154,4,Brandon,Miller,millsjames@example.com,508-807-9882,MANAGER,RISK,2022-01-15,40483.21,ACTIVE
155,41,Matthew,Lee,xgomez@example.net,527-439-7504,TELLER,RISK,2025-09-18,70590.16,INACTIVE
156,23,Yvonne,Briggs,zhood@example.org,841-250-5095x718,SUPERVISOR,RISK,2020-05-10,55231.98,SUSPENDED
157,33,Janet,Abbott,kgrimes@example.net,247-549-8600,MANAGER,RETAIL,2023-12-30,69268.11,INACTIVE
158,8,Manuel,Davies,petersonchristopher@example.net,554.391.8967x9916,ADVISOR,COMPLIANCE,2020-11-26,46668.55,ACTIVE
159,35,Ashley,Diaz,anthony57@example.com,+1-237-317-7789x153,SUPERVISOR,IT,2016-02-10,30955.65,SUSPENDED
160,45,Deanna,Green,kevin70@example.org,+1-508-953-5881x62963,TELLER,RETAIL,2016-02-20,78793.03,ACTIVE
161,12,Eric,Henderson,kathrynmartin@example.org,+1-627-965-4829x7064,SUPERVISOR,RISK,2024-12-16,76799.25,ACTIVE
162,11,Charlotte,Powell,drobertson@example.org,+1-287-964-9664,SUPERVISOR,RETAIL,2021-07-23,71980.63,SUSPENDED
163,20,Ashley,Hendricks,crosbyryan@example.net,001-667-566-9856x236,ADVISOR,RETAIL,2025-07-26,57698.97,ACTIVE
164,41,Rachel,Chen,sosakimberly@example.net,(943)376-3449,ADVISOR,IT,2020-01-24,56204.3,SUSPENDED
165,24,Eric,Morales,bryanrachel@example.net,722.470.3378x613,ANALYST,RISK,2022-04-04,55986.46,SUSPENDED
166,5,Emily,Mendez,joecollins@example.net,(313)967-9176x1943,ANALYST,IT,2018-11-22,70180.38,SUSPENDED
167,14,Timothy,Odom,frenchnathan@example.org,416.767.4873x974,MANAGER,IT,2022-01-07,70867.97,ACTIVE
168,26,Kevin,Wilson,coopermary@example.org,758.433.1670x525,ANALYST,IT,2020-02-01,81270.4,SUSPENDED
169,38,Frederick,White,xsmith@example.com,466.503.6254,SUPERVISOR,OPERATIONS,2024-02-16,69081.74,ACTIVE
170,38,Lindsey,Mueller,kathryn30@example.net,867.436.3313x76792,ANALYST,COMPLIANCE,2021-04-26,52150.31,INACTIVE
171,17,Jeffery,Murray,ayoung@example.net,9763474244,MANAGER,OPERATIONS,2023-04-28,44741.72,SUSPENDED
172,2,Paul,Crawford,uscott@example.org,767.836.7840,ANALYST,OPERATIONS,2024-08-28,116801.81,SUSPENDED
173,25,Shirley,Harris,wellsmichael@example.net,3138100885,ADVISOR,RISK,2022-01-06,43358.24,SUSPENDED
174,41,Michael,May,chadmiranda@example.net,(945)696-9893x28224,ANALYST,RETAIL,2016-10-02,116015.07,INACTIVE
175,1,Joseph,Powell,nicholasstewart@example.org,367.866.8354,MANAGER,OPERATIONS,2017-04-27,86097.77,INACTIVE
176,2,Eric,Diaz,jhall@example.com,6255573657,ADVISOR,OPERATIONS,2016-04-25,77651.96,SUSPENDED
177,21,Tiffany,Barron,karicarter@example.com,(334)424-2033,TELLER,RISK,2021-07-31,114977.27,INACTIVE
178,19,Aaron,Valentine,kathleendavis@example.org,529-741-7820x0659,MANAGER,IT,2025-02-23,103719.86,SUSPENDED
179,6,David,Simpson,jamesrichards@example.org,+1-960-527-7389x79551,MANAGER,RISK,2021-08-19,40003.11,INACTIVE
180,11,William,Snyder,colefelicia@example.com,8053462621,MANAGER,IT,2018-05-22,106427.16,SUSPENDED
181,36,Kaylee,Cohen,joshua59@example.com,9055879964,ANALYST,RISK,2025-01-09,30423.19,INACTIVE
182,20,Michael,Wilson,josegraham@example.net,001-402-227-4959x148,ANALYST,IT,2017-06-05,92526.42,SUSPENDED
183,14,Matthew,Archer,lisamendoza@example.org,489-641-0233x208,ADVISOR,COMPLIANCE,2023-08-18,63483.39,INACTIVE
184,21,Michael,Randall,wardkari@example.com,+1-725-750-5439x7847,ANALYST,IT,2018-11-06,51731.99,SUSPENDED
185,37,Jill,Reynolds,kevin41@example.net,3082735344,TELLER,RETAIL,2017-09-17,59751.18,ACTIVE
186,22,Aaron,Gentry,vincentjesse@example.com,8538083790,TELLER,RISK,2022-09-12,73018.05,INACTIVE
187,6,Dylan,Carpenter,robertmartinez@example.org,446.230.0428,MANAGER,RISK,2020-06-28,38283.08,ACTIVE
188,10,Mark,Peterson,gregoryalexander@example.net,7788923308,ADVISOR,RETAIL,2017-08-06,33414.91,SUSPENDED
189,49,Gregory,Rodriguez,jgrant@example.com,(951)848-5103,ADVISOR,COMPLIANCE,2024-10-25,77097.21,ACTIVE
190,37,Christina,Cooper,nelsontara@example.net,+1-552-769-7776x970,MANAGER,IT,2021-12-23,111579.8,ACTIVE
191,4,Aaron,Parker,tony40@example.com,+1-935-344-9229x285,SUPERVISOR,IT,2017-03-04,92843.56,ACTIVE
192,47,Christina,Johnson,charleswest@example.com,839-523-5271x467,MANAGER,RISK,2021-10-17,55507.46,INACTIVE
193,39,Kelsey,Huang,allison06@example.net,001-818-367-9917x0776,SUPERVISOR,RISK,2020-08-13,52132.91,SUSPENDED
194,14,Dustin,Meadows,michaelwalker@example.org,(652)516-0939,ADVISOR,IT,2024-06-21,35219.91,SUSPENDED
195,25,Connie,Conway,nunezdanielle@example.org,+1-700-905-7919x28406,MANAGER,COMPLIANCE,2019-01-13,37992.33,INACTIVE
196,47,Garrett,Dickerson,marylewis@example.org,+1-339-940-3534x8181,ADVISOR,IT,2020-10-21,62503.54,INACTIVE
197,21,Brittany,Thompson,sarah13@example.net,(297)933-7024,TELLER,COMPLIANCE,2022-06-30,92431.81,INACTIVE
198,25,Sarah,Rodriguez,hannahpaul@example.com,(986)250-5632,ADVISOR,RISK,2023-05-02,110086.91,ACTIVE
199,33,Tara,Lee,franklinkenneth@example.net,9314457717,TELLER,IT,2025-10-21,30452.65,ACTIVE
200,29,Alicia,Quinn,crobles@example.com,880-422-0493x4913,ANALYST,OPERATIONS,2018-09-30,76632.52,SUSPENDED
201,21,Gary,Irwin,lclark@example.com,7476093837,ADVISOR,COMPLIANCE,2020-02-04,98623.27,ACTIVE
202,39,Glenn,Patton,millsapril@example.org,+1-540-539-8818,SUPERVISOR,OPERATIONS,2022-09-22,107720.73,ACTIVE
203,6,Donald,Perez,kramerdavid@example.com,001-251-786-8465x054,ANALYST,IT,2021-09-18,64592.35,ACTIVE
204,42,David,Dominguez,vincent82@example.net,542.430.0928x4361,ADVISOR,RISK,2025-04-12,43635.05,SUSPENDED
205,14,William,Smith,lauren44@example.com,833.852.4691x340,TELLER,OPERATIONS,2023-05-29,52372.77,INACTIVE
206,40,Derek,Stevens,ofoster@example.net,9146963220,ADVISOR,IT,2020-05-24,31164.95,SUSPENDED
207,29,Susan,Nichols,cynthiabailey@example.com,622-593-0741x36977,ANALYST,RISK,2016-06-24,75991.9,SUSPENDED
208,9,Ann,Mitchell,ybrown@example.net,(575)810-8212,TELLER,OPERATIONS,2025-09-06,45020.51,SUSPENDED
209,42,Adam,Mccoy,nreed@example.com,(691)342-6422x677,TELLER,RISK,2017-06-02,39817.83,ACTIVE
210,6,Jacob,Pugh,pachecoandrew@example.com,001-258-762-6549x6439,TELLER,RETAIL,2022-03-02,111175.06,INACTIVE
211,8,Tamara,Holland,jeffreyfitzgerald@example.com,+1-289-244-7561x98455,SUPERVISOR,COMPLIANCE,2021-04-06,110058.65,SUSPENDED
212,38,Jessica,Contreras,lvaughan@example.net,9639028562,TELLER,COMPLIANCE,2016-09-19,39354.83,SUSPENDED
213,47,Jerry,Coleman,natalie01@example.org,001-946-428-3885x22464,ADVISOR,IT,2025-07-23,46293.21,SUSPENDED
214,4,Stephanie,Knight,yhart@example.org,545.563.7699,TELLER,OPERATIONS,2024-11-19,38982.53,INACTIVE
215,37,Brian,Dunn,steelepriscilla@example.net,285.770.3014x29833,MANAGER,OPERATIONS,2017-01-07,92624.05,ACTIVE
216,14,Robert,Thomas,tbarber@example.com,(730)676-6587x140,MANAGER,RETAIL,2020-11-19,93145.11,SUSPENDED
