account_id,client_id,contract_id,account_number,account_type,currency,open_date,close_date,status,branch_code
82,1098,4848.0,ACC0000000082,CREDIT,USD,2023-10-19,,CLOSED,BR628
83,2932,270.0,ACC0000000083,LOAN,USD,2025-04-01,,CLOSED,BR700
84,1909,,ACC0000000084,CHECKING,USD,2025-08-13,,BLOCKED,BR753
85,2964,4319.0,ACC0000000085,CHECKING,USD,2021-08-17,,ACTIVE,BR483
86,1796,,ACC0000000086,DEPOSIT,USD,2025-02-20,2027-10-08,CLOSED,BR883
87,2886,3437.0,ACC0000000087,CHECKING,USD,2025-07-19,,BLOCKED,BR972
88,2160,1868.0,ACC0000000088,CREDIT,USD,2025-10-09,,ACTIVE,BR616
89,1455,4156.0,ACC0000000089,CREDIT,USD,2025-06-16,,DORMANT,BR802
90,2545,4193.0,ACC0000000090,DEPOSIT,USD,2025-07-08,,ACTIVE,BR444
91,431,,ACC0000000091,DEPOSIT,USD,2025-01-17,2026-08-24,ACTIVE,BR688
92,993,1776.0,ACC0000000092,DEPOSIT,USD,2023-12-25,,BLOCKED,BR368
93,672,,ACC0000000093,LOAN,USD,2023-02-22,,BLOCKED,BR115
94,2503,,ACC0000000094,CREDIT,USD,2023-01-12,,BLOCKED,BR699
95,1043,,ACC0000000095,CREDIT,USD,2025-11-01,,CLOSED,BR770
96,2753,4856.0,ACC0000000096,LOAN,USD,2021-10-20,,ACTIVE,BR343
97,2532,,ACC0000000097,SAVINGS,USD,2025-05-12,,DORMANT,BR709
98,1982,,ACC0000000098,CREDIT,USD,2025-06-05,,CLOSED,BR477
99,293,,ACC0000000099,DEPOSIT,USD,2024-02-17,,ACTIVE,BR619
100,2182,,ACC0000000100,CHECKING,USD,2024-11-25,,DORMANT,BR549
101,703,,ACC0000000101,CREDIT,USD,2025-10-14,,DORMANT,BR742
102,89,2997.0,ACC0000000102,LOAN,USD,2025-10-14,,CLOSED,BR478
103,1913,1054.0,ACC0000000103,SAVINGS,USD,2024-02-15,2030-11-21,DORMANT,BR251
104,807,,ACC0000000104,DEPOSIT,USD,2024-11-27,,CLOSED,BR594
105,840,1962.0,ACC0000000105,DEPOSIT,USD,2023-02-17,2029-08-30,ACTIVE,BR827
106,898,3043.0,ACC0000000106,CREDIT,USD,2025-09-11,,BLOCKED,BR660
107,429,,ACC0000000107,DEPOSIT,USD,2025-07-28,,DORMANT,BR572
108,2715,,ACC0000000108,SAVINGS,USD,2025-02-19,,CLOSED,BR302
109,173,4294.0,ACC0000000109,CREDIT,USD,2025-10-25,,DORMANT,BR220
110,27,308.0,ACC0000000110,CREDIT,USD,2025-06-19,,BLOCKED,BR130
111,1166,,ACC0000000111,LOAN,USD,2024-10-06,,BLOCKED,BR739
112,1085,,ACC0000000112,SAVINGS,USD,2021-05-07,,ACTIVE,BR901
113,2887,5057.0,ACC0000000113,CHECKING,USD,2025-06-19,,DORMANT,BR506
114,828,3855.0,ACC0000000114,SAVINGS,USD,2024-04-12,,BLOCKED,BR215
115,1920,397.0,ACC0000000115,CHECKING,USD,2024-06-27,,DORMANT,BR752
116,2061,,ACC0000000116,SAVINGS,USD,2025-04-12,,BLOCKED,BR444
117,659,3915.0,ACC0000000117,CREDIT,USD,2025-03-23,,BLOCKED,BR950
118,2229,5272.0,ACC0000000118,LOAN,USD,2025-07-07,,ACTIVE,BR534
119,1284,,ACC0000000119,CHECKING,USD,2025-10-08,,DORMANT,BR816
120,248,,ACC0000000120,LOAN,USD,2025-07-25,,ACTIVE,BR673
121,1466,,ACC0000000121,DEPOSIT,USD,2023-01-13,,ACTIVE,BR408
122,1727,,ACC0000000122,DEPOSIT,USD,2023-08-09,2030-03-29,DORMANT,BR877
123,2151,,ACC0000000123,CREDIT,USD,2025-08-04,,DORMANT,BR190
124,1019,308.0,ACC0000000124,CREDIT,USD,2025-09-16,,BLOCKED,BR884
125,2794,4799.0,ACC0000000125,DEPOSIT,USD,2025-09-09,,CLOSED,BR328
126,2477,5811.0,ACC0000000126,LOAN,USD,2025-06-17,,CLOSED,BR991
127,1512,3770.0,ACC0000000127,LOAN,USD,2025-05-30,2032-11-12,BLOCKED,BR761
128,264,1267.0,ACC0000000128,SAVINGS,USD,2025-07-25,2030-09-24,CLOSED,BR711
129,106,1134.0,ACC0000000129,SAVINGS,USD,2022-11-13,,CLOSED,BR277
130,2483,3124.0,ACC0000000130,LOAN,USD,2025-05-03,,ACTIVE,BR725
131,2067,,ACC0000000131,CHECKING,USD,2025-09-22,,DORMANT,BR348
132,2686,4997.0,ACC0000000132,SAVINGS,USD,2022-06-18,2023-06-27,CLOSED,BR656
133,515,4302.0,ACC0000000133,LOAN,USD,2025-04-30,,ACTIVE,BR673
134,1453,5025.0,ACC0000000134,CHECKING,USD,2025-01-02,,BLOCKED,BR560
135,668,5814.0,ACC0000000135,LOAN,USD,2025-03-19,,DORMANT,BR513
136,2570,5458.0,ACC0000000136,CREDIT,USD,2024-08-20,,CLOSED,BR856
137,212,5267.0,ACC0000000137,CHECKING,USD,2025-04-05,,ACTIVE,BR290
138,649,1350.0,ACC0000000138,LOAN,USD,2025-06-17,,DORMANT,BR384
139,1925,1496.0,ACC0000000139,LOAN,USD,2024-09-04,,ACTIVE,BR363
140,731,1371.0,ACC0000000140,DEPOSIT,USD,2024-09-18,2033-05-21,CLOSED,BR879
141,56,515.0,ACC0000000141,LOAN,USD,2024-10-10,,DORMANT,BR708
142,1783,,ACC0000000142,CREDIT,USD,2025-02-24,,DORMANT,BR554
143,2781,,ACC0000000143,CREDIT,USD,2025-07-28,,CLOSED,BR418
144,942,3066.0,ACC0000000144,LOAN,USD,2025-09-13,,BLOCKED,BR363
145,1911,1327.0,ACC0000000145,DEPOSIT,USD,2022-08-02,,BLOCKED,BR355
146,2949,2634.0,ACC0000000146,CREDIT,USD,2025-06-04,,DORMANT,BR513
147,647,910.0,ACC0000000147,CHECKING,USD,2024-09-05,2028-10-22,ACTIVE,BR256
148,1990,48.0,ACC0000000148,DEPOSIT,USD,2025-03-12,,DORMANT,BR374
149,2751,,ACC0000000149,DEPOSIT,USD,2025-10-30,,DORMANT,BR783
150,213,,ACC0000000150,DEPOSIT,USD,2023-10-21,2026-03-02,CLOSED,BR959
151,2557,4010.0,ACC0000000151,CHECKING,USD,2024-02-21,,CLOSED,BR372
152,2130,4672.0,ACC0000000152,LOAN,USD,2025-05-10,2026-12-10,CLOSED,BR578
153,1477,3148.0,ACC0000000153,LOAN,USD,2025-06-25,,BLOCKED,BR154
154,873,,ACC0000000154,SAVINGS,USD,2023-12-15,,DORMANT,BR603
155,2221,,ACC0000000155,DEPOSIT,USD,2025-09-18,,DORMANT,BR613
156,14,1612.0,ACC0000000156,CREDIT,USD,2023-07-14,,BLOCKED,BR698
157,2723,2548.0,ACC0000000157,CREDIT,USD,2024-07-11,,DORMANT,BR778
158,1261,2779.0,ACC0000000158,CREDIT,USD,2025-10-27,,DORMANT,BR614
159,1074,2550.0,ACC0000000159,SAVINGS,USD,2024-07-03,2029-06-16,BLOCKED,BR168
160,103,,ACC0000000160,CHECKING,USD,2025-10-20,,DORMANT,BR767
161,1135,3904.0,ACC0000000161,CREDIT,USD,2025-10-26,,BLOCKED,BR319
162,510,,ACC0000000162,CHECKING,USD,2024-08-14,2026-01-10,BLOCKED,BR520
163,796,1071.0,ACC0000000163,LOAN,USD,2025-08-23,,BLOCKED,BR918
164,2964,5004.0,ACC0000000164,SAVINGS,USD,2023-08-10,2026-04-19,ACTIVE,BR801
165,830,562.0,ACC0000000165,LOAN,USD,2024-11-13,,ACTIVE,BR986
166,1196,4419.0,ACC0000000166,SAVINGS,USD,2025-09-20,,ACTIVE,BR746
167,1084,3050.0,ACC0000000167,DEPOSIT,USD,2025-11-01,,BLOCKED,BR786
168,2076,,ACC0000000168,SAVINGS,USD,2025-02-16,,DORMANT,BR483
169,2669,3666.0,ACC0000000169,CHECKING,USD,2025-07-04,,BLOCKED,BR150
170,1326,3318.0,ACC0000000170,CREDIT,USD,2024-05-22,,CLOSED,BR952
171,2158,4402.0,ACC0000000171,DEPOSIT,USD,2025-05-09,,DORMANT,BR533
172,1069,2884.0,ACC0000000172,CHECKING,USD,2024-12-23,2031-06-21,ACTIVE,BR898
173,264,1448.0,ACC0000000173,CHECKING,USD,2025-08-17,,ACTIVE,BR101
174,1026,56.0,ACC0000000174,DEPOSIT,USD,2024-09-19,,ACTIVE,BR854
175,1410,,ACC0000000175,SAVINGS,USD,2024-08-12,2027-04-22,CLOSED,BR717
176,677,5627.0,ACC0000000176,CREDIT,USD,2024-10-18,,BLOCKED,BR694
177,604,,ACC0000000177,LOAN,USD,2024-12-10,,ACTIVE,BR441
178,825,,ACC0000000178,LOAN,USD,2025-05-07,2028-05-14,BLOCKED,BR731
179,1038,4092.0,ACC0000000179,SAVINGS,USD,2024-12-09,,BLOCKED,BR320
180,614,4627.0,ACC0000000180,DEPOSIT,USD,2023-11-21,,ACTIVE,BR419
181,1860,,ACC0000000181,SAVINGS,USD,2025-01-20,,DORMANT,BR849
182,83,,ACC0000000182,CREDIT,USD,2025-05-07,2026-10-18,DORMANT,BR178
183,1290,4981.0,ACC0000000183,CHECKING,USD,2025-02-26,,CLOSED,BR211
184,2118,1706.0,ACC0000000184,DEPOSIT,USD,2025-10-26,,BLOCKED,BR922
185,1209,,ACC0000000185,LOAN,USD,2024-01-14,2030-01-17,CLOSED,BR954
186,453,639.0,ACC0000000186,CREDIT,USD,2025-07-19,,CLOSED,BR554
187,1615,3249.0,ACC0000000187,SAVINGS,USD,2025-05-14,2031-02-17,DORMANT,BR459
188,2492,5204.0,ACC0000000188,SAVINGS,USD,2025-09-05,2028-12-07,DORMANT,BR188
189,1900,,ACC0000000189,CREDIT,USD,2025-06-14,,ACTIVE,BR528
190,444,,ACC0000000190,CREDIT,USD,2025-07-02,,BLOCKED,BR446
191,137,95.0,ACC0000000191,LOAN,USD,2023-03-08,,ACTIVE,BR790
192,2353,4340.0,ACC0000000192,LOAN,USD,2025-01-17,,CLOSED,BR565
193,2703,,ACC0000000193,SAVINGS,USD,2022-09-09,2027-09-07,DORMANT,BR663
194,2419,3338.0,ACC0000000194,LOAN,USD,2025-03-17,,BLOCKED,BR573
195,619,,ACC0000000195,SAVINGS,USD,2024-05-20,,ACTIVE,BR814
196,2395,252.0,ACC0000000196,LOAN,USD,2024-09-18,,CLOSED,BR929
197,1044,1041.0,ACC0000000197,CHECKING,USD,2023-04-18,,CLOSED,BR688
198,2190,,ACC0000000198,CHECKING,USD,2023-09-21,2028-11-15,BLOCKED,BR642
199,951,3882.0,ACC0000000199,DEPOSIT,USD,2025-10-04,,ACTIVE,BR991
200,95,,ACC0000000200,CREDIT,USD,2024-11-19,,ACTIVE,BR552
201,2005,2371.0,ACC0000000201,CHECKING,USD,2024-03-21,2026-06-07,CLOSED,BR132
202,2211,1621.0,ACC0000000202,CHECKING,USD,2024-02-13,,BLOCKED,BR522
203,2921,,ACC0000000203,CREDIT,USD,2025-09-14,,BLOCKED,BR856
204,211,2857.0,ACC0000000204,SAVINGS,USD,2023-09-13,2025-01-31,BLOCKED,BR170
205,1718,,ACC0000000205,SAVINGS,USD,2024-11-03,,BLOCKED,BR657
206,2260,4134.0,ACC0000000206,CREDIT,USD,2025-09-11,2033-07-01,CLOSED,BR294
207,1131,335.0,ACC0000000207,CREDIT,USD,2024-11-26,,CLOSED,BR526
208,1642,4460.0,ACC0000000208,CHECKING,USD,2023-07-14,2029-12-08,BLOCKED,BR816
209,2376,4816.0,ACC0000000209,LOAN,USD,2025-09-22,,ACTIVE,BR102
210,740,870.0,ACC0000000210,DEPOSIT,USD,2024-06-19,,ACTIVE,BR515
211,1103,,ACC0000000211,CREDIT,USD,2025-11-02,,DORMANT,BR133
212,501,4559.0,ACC0000000212,CHECKING,USD,2025-06-10,2031-08-17,ACTIVE,BR948
213,1719,,ACC0000000213,CREDIT,USD,2023-12-02,,ACTIVE,BR938
214,529,5356.0,ACC0000000214,DEPOSIT,USD,2025-10-12,2034-05-28,CLOSED,BR983
215,2342,4991.0,ACC0000000215,DEPOSIT,USD,2021-05-21,,ACTIVE,BR559
216,207,5286.0,ACC0000000216,DEPOSIT,USD,2025-04-08,,ACTIVE,BR564
217,326,4396.0,ACC0000000217,LOAN,USD,2025-07-15,,BLOCKED,BR718
218,318,5278.0,ACC0000000218,CHECKING,USD,2023-09-23,,CLOSED,BR131
219,1053,,ACC0000000219,SAVINGS,USD,2024-08-08,,BLOCKED,BR838
220,2823,3019.0,ACC0000000220,DEPOSIT,USD,2025-04-24,2030-07-22,CLOSED,BR353
221,1570,,ACC0000000221,SAVINGS,USD,2023-03-28,,CLOSED,BR484
222,621,4780.0,ACC0000000222,LOAN,USD,2025-08-06,2033-05-07,BLOCKED,BR840
223,404,303.0,ACC0000000223,LOAN,USD,2024-09-17,,BLOCKED,BR990
224,355,3529.0,ACC0000000224,CHECKING,USD,2024-01-20,,BLOCKED,BR684
225,2488,2786.0,ACC0000000225,CREDIT,USD,2025-01-06,,DORMANT,BR972
226,10,,ACC0000000226,LOAN,USD,2025-09-07,,ACTIVE,BR690
227,812,3596.0,ACC0000000227,CHECKING,USD,2024-12-21,,DORMANT,BR650
228,2542,,ACC0000000228,CREDIT,USD,2025-05-15,,CLOSED,BR560
229,1351,1056.0,ACC0000000229,CHECKING,USD,2025-03-02,,CLOSED,BR950
230,1314,2185.0,ACC0000000230,LOAN,USD,2024-11-04,,ACTIVE,BR224
231,1444,1680.0,ACC0000000231,DEPOSIT,USD,2023-08-23,,ACTIVE,BR857
232,87,1806.0,ACC0000000232,DEPOSIT,USD,2025-03-13,,CLOSED,BR546
233,1522,,ACC0000000233,DEPOSIT,USD,2024-08-05,,BLOCKED,BR964
234,858,914.0,ACC0000000234,DEPOSIT,USD,2025-05-25,2031-08-21,ACTIVE,BR150
235,1788,,ACC0000000235,CHECKING,USD,2024-12-27,,DORMANT,BR782
236,1787,3070.0,ACC0000000236,SAVINGS,USD,2025-09-28,,DORMANT,BR576
237,1469,,ACC0000000237,LOAN,USD,2023-07-05,,ACTIVE,BR384
238,598,3744.0,ACC0000000238,LOAN,USD,2023-05-23,2028-09-17,CLOSED,BR202
239,1902,3174.0,ACC0000000239,CREDIT,USD,2023-06-07,,DORMANT,BR413
240,1651,5506.0,ACC0000000240,LOAN,USD,2023-10-04,,BLOCKED,BR708
241,1425,36.0,ACC0000000241,DEPOSIT,USD,2025-07-30,,CLOSED,BR252
242,1652,5160.0,ACC0000000242,SAVINGS,USD,2025-10-20,,BLOCKED,BR510
243,1250,4886.0,ACC0000000243,DEPOSIT,USD,2024-12-19,,DORMANT,BR916
244,349,5882.0,ACC0000000244,DEPOSIT,USD,2024-06-25,,CLOSED,BR460
245,2356,2393.0,ACC0000000245,LOAN,USD,2024-12-30,,DORMANT,BR578
246,2613,,ACC0000000246,DEPOSIT,USD,2025-02-22,,DORMANT,BR293
247,160,2070.0,ACC0000000247,SAVINGS,USD,2024-11-22,,ACTIVE,BR601
248,172,,ACC0000000248,CREDIT,USD,2024-08-27,,BLOCKED,BR611
249,2701,2395.0,ACC0000000249,CHECKING,USD,2025-09-23,,BLOCKED,BR770
250,971,5041.0,ACC0000000250,CHECKING,USD,2024-12-18,,BLOCKED,BR495
251,154,2276.0,ACC0000000251,DEPOSIT,USD,2024-10-12,,ACTIVE,BR281
252,253,1924.0,ACC0000000252,SAVINGS,USD,2025-09-05,,CLOSED,BR163
253,2983,1536.0,ACC0000000253,CREDIT,USD,2024-05-22,,ACTIVE,BR252
254,389,5284.0,ACC0000000254,LOAN,USD,2022-04-27,2024-04-25,DORMANT,BR699
255,1827,692.0,ACC0000000255,CHECKING,USD,2025-03-14,,ACTIVE,BR317
256,132,1441.0,ACC0000000256,CHECKING,USD,2025-04-13,,DORMANT,BR670
257,911,817.0,ACC0000000257,CREDIT,USD,2025-08-05,,CLOSED,BR627
258,1533,,ACC0000000258,LOAN,USD,2025-08-19,,CLOSED,BR437
259,1433,,ACC0000000259,CHECKING,USD,2025-09-27,,CLOSED,BR154
260,2047,4111.0,ACC0000000260,CREDIT,USD,2025-05-01,,DORMANT,BR359
261,2671,3299.0,ACC0000000261,SAVINGS,USD,2025-06-26,2032-09-29,CLOSED,BR512
262,599,2972.0,ACC0000000262,DEPOSIT,USD,2025-05-29,2034-10-09,BLOCKED,BR225
263,147,1507.0,ACC0000000263,DEPOSIT,USD,2024-03-28,,CLOSED,BR240
264,1525,4916.0,ACC0000000264,SAVINGS,USD,2025-04-30,,DORMANT,BR622
265,574,2547.0,ACC0000000265,SAVINGS,USD,2025-10-29,,BLOCKED,BR802
266,669,,ACC0000000266,LOAN,USD,2025-08-20,,ACTIVE,BR423
267,2875,485.0,ACC0000000267,LOAN,USD,2025-09-19,,DORMANT,BR842
268,1023,1938.0,ACC0000000268,DEPOSIT,USD,2023-08-13,2027-12-26,CLOSED,BR175
269,626,,ACC0000000269,CREDIT,USD,2025-06-27,,BLOCKED,BR311
270,340,1823.0,ACC0000000270,DEPOSIT,USD,2023-04-28,,ACTIVE,BR170
271,1353,2868.0,ACC0000000271,LOAN,USD,2022-01-10,,CLOSED,BR570
272,595,823.0,ACC0000000272,DEPOSIT,USD,2024-03-23,,ACTIVE,BR850
273,421,,ACC0000000273,LOAN,USD,2025-04-28,,BLOCKED,BR561
274,478,433.0,ACC0000000274,LOAN,USD,2022-10-22,2030-08-31,BLOCKED,BR301
275,98,2986.0,ACC0000000275,SAVINGS,USD,2025-10-15,,DORMANT,BR946
276,1416,,ACC0000000276,SAVINGS,USD,2023-09-28,,BLOCKED,BR432
277,9,4934.0,ACC0000000277,DEPOSIT,USD,2022-07-10,,CLOSED,BR892
278,2013,,ACC0000000278,CREDIT,USD,2025-05-29,,ACTIVE,BR161
279,1713,,ACC0000000279,SAVINGS,USD,2024-01-12,2026-08-31,DORMANT,BR898
280,1504,,ACC0000000280,LOAN,USD,2025-10-28,,CLOSED,BR457
281,1370,5104.0,ACC0000000281,DEPOSIT,USD,2024-06-14,2025-06-19,ACTIVE,BR971
282,1373,4349.0,ACC0000000282,SAVINGS,USD,2025-05-30,,DORMANT,BR725
283,1663,,ACC0000000283,DEPOSIT,USD,2025-10-14,,CLOSED,BR259
284,542,,ACC0000000284,DEPOSIT,USD,2024-12-21,,DORMANT,BR428
285,1494,3644.0,ACC0000000285,CREDIT,USD,2025-06-18,,ACTIVE,BR203
286,2700,2639.0,ACC0000000286,LOAN,USD,2025-09-28,2028-11-08,BLOCKED,BR569
287,1904,5558.0,ACC0000000287,SAVINGS,USD,2022-08-27,,DORMANT,BR393
288,2762,,ACC0000000288,CHECKING,USD,2025-07-20,,BLOCKED,BR952
289,121,,ACC0000000289,CREDIT,USD,2024-11-10,,CLOSED,BR103
290,1874,,ACC0000000290,SAVINGS,USD,2025-04-23,,BLOCKED,BR826
291,2708,3483.0,ACC0000000291,LOAN,USD,2024-11-27,,CLOSED,BR247
292,916,178.0,ACC0000000292,DEPOSIT,USD,2022-05-02,,DORMANT,BR956
293,724,,ACC0000000293,LOAN,USD,2024-12-21,,BLOCKED,BR334
294,1422,2953.0,ACC0000000294,LOAN,USD,2022-10-07,,BLOCKED,BR953
295,1135,,ACC0000000295,LOAN,USD,2025-10-27,,ACTIVE,BR527
296,160,2189.0,ACC0000000296,CHECKING,USD,2022-12-04,,ACTIVE,BR152
297,2283,3820.0,ACC0000000297,CREDIT,USD,2025-10-19,2028-12-04,BLOCKED,BR236
298,1832,5392.0,ACC0000000298,SAVINGS,USD,2024-08-10,,ACTIVE,BR274
299,420,1071.0,ACC0000000299,SAVINGS,USD,2025-08-31,,DORMANT,BR168
300,1370,433.0,ACC0000000300,SAVINGS,USD,2025-02-13,,BLOCKED,BR546
301,957,4522.0,ACC0000000301,SAVINGS,USD,2024-11-08,,BLOCKED,BR376
302,2383,5250.0,ACC0000000302,CHECKING,USD,2024-01-02,,DORMANT,BR501
303,1790,5090.0,ACC0000000303,SAVINGS,USD,2024-04-03,2029-01-26,ACTIVE,BR436
304,1704,,ACC0000000304,CREDIT,USD,2022-07-16,,DORMANT,BR762
305,2320,5828.0,ACC0000000305,CREDIT,USD,2023-07-03,,CLOSED,BR679
306,2029,2060.0,ACC0000000306,CREDIT,USD,2024-11-27,2029-04-25,CLOSED,BR274
